AUTHOR_NAME,PUB_TITLE,PUB_YEAR,PUB_AUTHORS,PUB_TYPE,PUB_PUBLISHER,PUB_ISBN,PUB_DOI,PUB_CITATIONS,JOU_RATING_VHB,JOU_RATING_SCIMAGO,UPDATED,PUB_AUTHORS_LIST
Ulf-Daniel Ehlers,2Studium im Shutdown – Der Podcast. #WirStudierenZuHause,,"Ehlers, Ulf-Daniel; Eigbrecht, Laura",Unknown,,,,,,,,"['Ulf-Daniel Ehlers', 'Laura Eigbrecht']"
Ulf-Daniel Ehlers,Next normal – WeStudy@Home,,"Ehlers, Ulf-Daniel; Eigbrecht, Laura; Bonaudo, Patricia",Unknown,,,,,,,,"['Ulf-Daniel Ehlers', 'Laura Eigbrecht', 'Patricia Bonaudo']"
,Designing a gamified reading app with pupils in elementary school,2020,"El Naggar, Bassant; Berkling, Kay",ContributionConferenceProceedings,,,DOI: https://doi.org/10.14705/rpnet.2020.48.1166,,,,,"['Bassant El Naggar', 'Kay Berkling']"
,11th EDEN Research Workshop,2020,,ConferenceProceedings,,,,,,,,['']
Birgit Franken,Understanding the use of eye-tracking recordings to measure and classify reading ability in elementary children school,2020,"Fayed, Karim; Franken, Birgit; Berkling, Kay",ContributionConferenceProceedings,,,DOI: https://doi.org/10.14705/rpnet.2020.48.1167,,,,,"['Karim Fayed', 'Birgit Franken', 'Kay Berkling']"
,„Gigantisches Experiment“.,2020,"Fischer, Anatol",JournalArticle,,,,,,,,['Anatol Fischer']
,Einkommen und Zufriedenheit,,Gerhard. Saskia; Interview mit Prof. Dr. Angela Diehl-Becker,Unknown,,,,,,,,"['Gerhard. Saskia', ' Interview mit Prof. Dr. Angela Diehl-Becker']"
Sabine Landwehr-Zloch,Kulturkreisübergreifendes Innovationsmanagement – Erfahrungsberichte aus der Praxis,2020,"Glaß, Josef; Landwehr-Zloch, Sabine; Kleemiss, Wolfgang; Küchenthal, Christian; Vossen, Marcus",ContributionBookEdited,,,,,,,,"['Josef Glaß', 'Sabine Landwehr-Zloch', 'Wolfgang Kleemiss', 'Christian Küchenthal', 'Marcus Vossen']"
,Neuer Podcast „Studium im Shutdown“ sammelt Erfahrungen für Forschungszwecke,,"Goetz, Uschi",Unknown,,,,,,,,['Uschi Goetz']
,Uni Karlsruhe: Podcast „Studium im Shutdown“,,"Goetz, Uschi",Unknown,,,,,,,,['Uschi Goetz']
Thomas Haalboom,Aufbau einer Untersuchungseinrichtung für Bilche in freier Wildbahn und Erheben von Felddaten durch Sammeln von Urinproben,2020,"Haalboom, Thomas; Bosch, Stefan; Schmid, Christian; Schwab, Jonas",JournalArticle,,,,,,,,"['Thomas Haalboom', 'Stefan Bosch', 'Christian Schmid', 'Jonas Schwab']"
,"Learning, Systems and the New Normal",2020,,ConferenceProceedings,,,,,,,,['']
,ICERI2020 Proceedings,2020,,ConferenceProceedings,,,,,,,,['']
Sabine Landwehr-Zloch,Morphological box for ESD – landmark for universities implementing education for sustainable development (ESD),2020,"Isenmann, Ralf; Landwehr-Zloch, Sabine; Zinn, Sascha",JournalArticle,,,DOI: https://doi.org/10.1016/j.ijme.2019.100360,,,,,"['Ralf Isenmann', 'Sabine Landwehr-Zloch', 'Sascha Zinn']"
,Projekt- und Wissensmanagement in Verbundprojekten,2020,"Ivanova, Albena; Kölle, Alexandra; Magdanz, Nina; Schreiber, Anne",ContributionBookEdited,,,,,,,,"['Albena Ivanova', 'Alexandra Kölle', 'Nina Magdanz', 'Anne Schreiber']"
,Geständnisse aus dem Job-Alltag,2020,"Kals, Ursula; Interview mit Prof. Dr. Angela Diehl-Becker",JournalArticle,,,,,,,,"['Ursula Kals', ' Interview mit Prof. Dr. Angela Diehl-Becker']"
Axel Kauffmann,Verarbeitung von Kunststoffen,2020,"Kauffmann, Axel",ContributionBookEdited,,,,,,,,['Axel Kauffmann']
Axel Kauffmann,Duroplaste,2020,"Kauffmann, Axel",ContributionBookEdited,,,,,,,,['Axel Kauffmann']
Axel Kauffmann,Schäumen,2020,"Kauffmann, Axel; Schüle, Helmut",ContributionBookEdited,,,,,,,,"['Axel Kauffmann', 'Helmut Schüle']"
Axel Kauffmann,Kunststoffe,2020,"Kauffmann, Axel",ContributionBookEdited,,,,,,,,['Axel Kauffmann']
Sabine Landwehr-Zloch,Rechnungswesen in der Chemischen Industrie. Thesen zur digitalen Transformation,2020,"Keller, W.; Landwehr-Zloch, Sabine; Weyland, S.",JournalArticle,,,,,,,,"['W. Keller', 'Sabine Landwehr-Zloch', 'S. Weyland']"
,Comparing pupils and teacher’s reflections on iRead tablet-based literacy games in a German elementary school,2020,"Knorr, Nancy; Berkling, Kay",ContributionConferenceProceedings,,,DOI: https://doi.org/10.14705/rpnet.2020.48.1182,,,,,"['Nancy Knorr', 'Kay Berkling']"
Roland Küstermann,Selbststudium im digitalen Wandel,2020,"Küstermann, Roland; Kunkel, Matthias; Mersch, André; Schreiber, Anne",Book,Springer Spektrum,,DOI: https://link.springer.com/book/10.1007%2F978-3-658-31279-4,,,,,"['Roland Küstermann', 'Matthias Kunkel', 'André Mersch', 'Anne Schreiber']"
Sabine Landwehr-Zloch,Innovationsmanagement der chemischen Industrie im digitalen Zeitalter. Den digitalen Wandel effektiv gestalten,2020,"Landwehr-Zloch, Sabine; Glaß, Josef",Book,Springer,,DOI: https://doi.org/10.1007/978-3-662-61358-0,,,,,"['Sabine Landwehr-Zloch', 'Josef Glaß']"
Sabine Landwehr-Zloch,Bewertung von Innovationsprojekten in VUCA Welt,2020,"Landwehr-Zloch, Sabine; Vossen, Marcus",ContributionBookEdited,,,,,,,,"['Sabine Landwehr-Zloch', 'Marcus Vossen']"
Andrew Lee,Impact investing through crowdlending: Examining the role of intermediation and the potential for development banks,2020,"Lee, Andrew; Weiland, Christiane",JournalArticle,,,,,,,,"['Andrew Lee', 'Christiane Weiland']"
,Karlsruher Studierende erforschen künstliche Intelligenz,2020,Markus Bender,Unknown,,,,,,,,['Markus Bender']
Christian Möbius,Vom Helfer in der Not zum Helfer im Alltag? Business Ökosysteme in der Versicherungswirtschaft– Teil 1,2020,"Möbius, Christian; Böhler, Rebecca",JournalArticle,,,,,,,,"['Christian Möbius', 'Rebecca Böhler']"
Christian Möbius,Vom Helfer in der Not zum Helfer im Alltag? Business Ökosysteme in der Versicherungswirtschaft– Teil 2,2020,"Möbius, Christian; Böhler, Rebecca",JournalArticle,,,,,,,,"['Christian Möbius', 'Rebecca Böhler']"
,Aktiv sein nach der Arbeit,2020,"Niehaves, Marcus; Interview mit Prof. Dr. Angela Diehl-Becker",Unknown,,,,,,,,"['Marcus Niehaves', ' Interview mit Prof. Dr. Angela Diehl-Becker']"
,Prospektive Weiterbildung für Industrie 4.0: Analyse- und Gestaltungsperspektiven,2020,"Nierling, Linda; Schreiber, Anne; Fischer, Martin",ContributionBookEdited,,,,,,,,"['Linda Nierling', 'Anne Schreiber', 'Martin Fischer']"
Philipp Pohl,A Machine Learning Approach to Univariate Time Series Forecasting of Quarterly Earnings,2020,"Pohl, Philipp; Fischer, Jan Alexander; Ratz, Dietmar",JournalArticle,,,,,,,,"['Philipp Pohl', 'Jan Alexander Fischer', 'Dietmar Ratz']"
