employee_name,first_matched_job_title,employee_name_clean,location,year_stored
"Chadwick, Eric",Akademischer Mitarbeiter Maschinenbau,Eric Chadwick,mannheim,2021
"Chammout, Aiman, Prof. Dr.",Professor BWL - Industrie,Aiman Chammout,mannheim,2021
"Corsten, Martina, Prof. Dr.","Studiengangsleiterin, Professorin RSW - Steuern und Prüfungswesen",Martina Corsten,mannheim,2021
"Daum, Ralf, Prof. Dr.","Studiengangsleiter, Professor BWL - Öffentliche Wirtschaft/Versorgungswirtschaft",Ralf Daum,mannheim,2021
"Dinkel, Michael, Prof. Dr.","Studiengangsleiter, Professor BWL - Messe-, Kongress- und Eventmanagement",Michael Dinkel,mannheim,2021
"Drabant, Bernhard, Prof. Dr.","Studiengangsleiter, Professor WI - Data Science",Bernhard Drabant,mannheim,2021
"Dunz, Alexandra, Prof. Dr.",Professorin Maschinenbau,Alexandra Dunz,mannheim,2021
"Ebeling, Frank, Prof. Dr.","Studiengangsleiter, Professor BWL - Bank",Frank Ebeling,mannheim,2021
"Ermschel, Ulrich, Prof. Dr.","Studiengangsleiter, Professor",Ulrich Ermschel,mannheim,2021
"Ewald, Michael",Akademischer Mitarbeiter EdCon,Michael Ewald,mannheim,2021
"Finkel, Ariana, Prof. Dr.",Professorin BWL - Marketing Management,Ariana Finkel,mannheim,2021
"Focke, Kai, Prof. Dr.",Professor BWL - Industrie,Kai Focke,mannheim,2021
"Führer, Christian, Prof. Dr.","Studiengangsleiter, Professor BWL - Marketing Management",Christian Führer,mannheim,2021
"Gamber, Thilo, Prof. Dr.","Studiengangsleiter, Professor Wirtschaftsingenieurwesen",Thilo Gamber,mannheim,2021
"Gerhards, Holger, Prof. Dr.",Professor Informatik,Holger Gerhards,mannheim,2021
"Gerhards, Ralf, Prof. Dr.",Professor RSW - Accounting & Controlling,Ralf Gerhards,mannheim,2021
"Günther, Tobias, Prof. Dr.",Professor Wirtschaftsinformatik,Tobias Günther,mannheim,2021
"Gutiérrez Landa, Izaskun, Prof. Dr.",Professorin Chemische Technik,Izaskun Gutiérrez Landa,mannheim,2021
"Hansch, Julia, Prof. Dr.","Studiengangsleiterin, Professorin BWL - Spedition, Transport und Logistik",Julia Hansch,mannheim,2021
"Harbrücker, Ulrich, Prof. Dr.","Studiengangsleiter, Professor RSW - Steuern und Prüfungswesen",Ulrich Harbrücker,mannheim,2021
"Hartmann, Harald, Prof. Dr.","Studiendekan Internationales Management und Logistik, Studiengangsleiter, Professor BWL - Spedition, Transport und Logistik",Harald Hartmann,mannheim,2021
"Heilig, Clemens, Prof. Dr.","Studiengangsleiter, Professor Wirtschaftsingenieurwesen",Clemens Heilig,mannheim,2021
"Heinrich, Roman",Akademischer Mitarbeiter,Roman Heinrich,mannheim,2021
"Heintz, Rüdiger, Prof. Dr.",Professor Elektrotechnik,Rüdiger Heintz,mannheim,2021
"Heng, Stefan, Prof. Dr.",Professor ME - Digitale Medien,Stefan Heng,mannheim,2021
"Hennig, Alexander, Prof. Dr.","Studiengangsleiter, Professor BWL - Digital Commerce Management",Alexander Hennig,mannheim,2021
"Hermann-Schölles, Angela",Akademische Mitarbeiterin Chemische Technik,Angela Hermann-Schölles,mannheim,2021
"Hilbert, Stefan, Prof.","Studiendekan Finanzdienstleistungen, Studiengangsleiter, Professor BWL - Finanzdienstleistungen",Stefan Hilbert,mannheim,2021
"Hoch, Rainer, Prof. Dr.","Studiengangsleiter, Professor WI - International Management for Business and Information Technology",Rainer Hoch,mannheim,2021
"Hofmann, Holger, Prof. Dr.","Studiendekan Studiengangsleiter, Professor Informatik",Holger Hofmann,mannheim,2021
"Hohenstein, Nils-Ole, Prof. Dr.","Professor BWL - Spedition, Transport und Logistik",Nils-Ole Hohenstein,mannheim,2021
"Holey, Thomas, Prof. Dr.","Studiengangsleiter, Professor WI - Software Engineering",Thomas Holey,mannheim,2021
"Holschuh, Kai, Prof. Dr.",Professor BWL - International Business,Kai Holschuh,mannheim,2021
"Honal, Andrea, Prof. Dr.","Professorin BWL - Spedition, Transport und Logistik",Andrea Honal,mannheim,2021
"Hörer, Oliver, Prof. Dr.",Professor Integrated Engineering,Oliver Hörer,mannheim,2021
"Hubert, Frank, Prof. Dr.",Professor Wirtschaftsinformatik,Frank Hubert,mannheim,2021
"Hübl, Reinhold, Prof. Dr.","Studiengangsleiter (komm.), Professor Informatik",Reinhold Hübl,mannheim,2021
"Huckenbeck, Ulrich, Dr.",Akademischer Mitarbeiter ZeMath,Ulrich Huckenbeck,mannheim,2021
"Hümmer, Matthias, Prof. Dr.",Professor Integrated Engineering,Matthias Hümmer,mannheim,2021
"Jacobsen, Hendrik, Prof. Dr.","Studiengangsleiter, Professor RSW - Accounting & Controlling",Hendrik Jacobsen,mannheim,2021
"Jedem-Kury, Ulrike, Prof., Dr.",Professorin BWL - Immobilienwirtschaft,Ulrike Jedem-Kury,mannheim,2021
"Jeske, Klaus-Jürgen, Prof. Dr.","Studiengangsleiter, Professor BWL - Versicherung",Klaus-Jürgen Jeske,mannheim,2021
"Jonen, Andreas, Prof. Dr.",Professor RSW - Accounting & Controlling,Andreas Jonen,mannheim,2021
